1.00,1.00,2.00,3.00,5.00,8.00,13.00,21.00,34.00,55.00,89.00,144.00,233.00,377.00,610.00,987.00,1597.00,2584.00,4181.00,6765.00
3.00,2.00,5.00,7.00,12.00,19.00,31.00,50.00,81.00,131.00,212.00,343.00,555.00,898.00,1453.00,2351.00,3804.00,6155.00,9959.00,16114.00
1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00
1.00,3.00,5.00,7.00,9.00,11.00,13.00,15.00,17.00,19.00,21.00,23.00,25.00,27.00,29.00,31.00,33.00,35.00,37.00,39.00
2.00,4.00,6.00,8.00,10.00,12.00,14.00,16.00,18.00,20.00,22.00,24.00,26.00,28.00,30.00,32.00,34.00,36.00,38.00,40.00
1.00,4.00,7.00,10.00,13.00,16.00,19.00,22.00,25.00,28.00,31.00,34.00,37.00,40.00,43.00,46.00,49.00,52.00,55.00,58.00
2.00,5.00,8.00,11.00,14.00,17.00,20.00,23.00,26.00,29.00,32.00,35.00,38.00,41.00,44.00,47.00,50.00,53.00,56.00,59.00
3.00,6.00,9.00,12.00,15.00,18.00,21.00,24.00,27.00,30.00,33.00,36.00,39.00,42.00,45.00,48.00,51.00,54.00,57.00,60.00
1.00,5.00,9.00,13.00,17.00,21.00,25.00,29.00,33.00,37.00,41.00,45.00,49.00,53.00,57.00,61.00,65.00,69.00,73.00,77.00
2.00,6.00,10.00,14.00,18.00,22.00,26.00,30.00,34.00,38.00,42.00,46.00,50.00,54.00,58.00,62.00,66.00,70.00,74.00,78.00
3.00,7.00,11.00,15.00,19.00,23.00,27.00,31.00,35.00,39.00,43.00,47.00,51.00,55.00,59.00,63.00,67.00,71.00,75.00,79.00
4.00,8.00,12.00,16.00,20.00,24.00,28.00,32.00,36.00,40.00,44.00,48.00,52.00,56.00,60.00,64.00,68.00,72.00,76.00,80.00
1.00,6.00,11.00,16.00,21.00,26.00,31.00,36.00,41.00,46.00,51.00,56.00,61.00,66.00,71.00,76.00,81.00,86.00,91.00,96.00
2.00,7.00,12.00,17.00,22.00,27.00,32.00,37.00,42.00,47.00,52.00,57.00,62.00,67.00,72.00,77.00,82.00,87.00,92.00,97.00
3.00,8.00,13.00,18.00,23.00,28.00,33.00,38.00,43.00,48.00,53.00,58.00,63.00,68.00,73.00,78.00,83.00,88.00,93.00,98.00
4.00,9.00,14.00,19.00,24.00,29.00,34.00,39.00,44.00,49.00,54.00,59.00,64.00,69.00,74.00,79.00,84.00,89.00,94.00,99.00
5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,60.00,65.00,70.00,75.00,80.00,85.00,90.00,95.00,100.00
