ID : [prediction, actual]
0: [1, 4, 'index', 4.2168]
1: [2, 2, 'hybrid', 1.4969]
2: [4, 3, 'index', 54.6836]
3: [1, 4, 'index', 51.8982]
4: [3, 3, 'index', 0.3301]
5: [1, 4, 'hybrid', 6.0671]
6: [1, 3, 'hybrid', 850.8711]
7: [3, 3, 'index', 9.4465]
8: [3, 3, 'hybrid', 0.9272]
9: [1, 1, 'index', 45.2904]
10: [1, 4, 'hybrid', 26.8859]
12: [4, 2, 'index', 56.4917]
13: [3, 1, 'index', 51.9205]
14: [array(5.611469, dtype=float32), '6', 'index', array(5.611469, dtype=float32)]
15: [1, 2, 'index', 217.9982]
16: [2, 2, 'hybrid', -164.3805]
17: [2, 4, 'index', 17.1478]
18: [1, 2, 'index', 20.4585]
19: [4, 2, 'index', 65.8992]
20: [array(108.421394, dtype=float32), '120', 'hybrid', array(108.421394, dtype=float32)]
21: [array(337.87442, dtype=float32), '344', 'hybrid', array(337.87442, dtype=float32)]
22: [array(45.400047, dtype=float32), '48', 'index', array(45.400047, dtype=float32)]
25: [3, 3, 'hybrid', 30.8481]
26: [3, 3, 'index', 0.4188]
27: [1, 2, 'hybrid', 69.7939]
28: [array(12.728178, dtype=float32), '525/4', 'hybrid', array(12.728178, dtype=float32)]
29: [4, 4, 'hybrid', 161.9263]
30: [1, 4, 'hybrid', 15.6404]
31: [2, 1, 'hybrid', 0.4133]
32: [3, 3, 'hybrid', -2.2632]
33: [2, 4, 'unknown', 20.2097]
34: [4, 2, 'hybrid', 4.7874]
35: [3, 3, 'hybrid', 137.8296]
36: [4, 3, 'hybrid', 19.6444]
37: [3, 2, 'hybrid', 216.0997]
38: [4, 4, 'index', 53.0455]
39: [1, 3, 'hybrid', 12.314]
40: [3, 2, 'unknown', 13.4496]
41: [3, 4, 'index', 149.9364]
42: [1, 3, 'index', -3.0837]
43: [4, 3, 'hybrid', 210.1332]
44: [1, 1, 'index', 1.3227]
45: [2, 1, 'index', 21.3424]
46: [1, 3, 'hybrid', -0.2435]
47: [1, 2, 'hybrid', 28.2346]
48: [3, 3, 'hybrid', 14.0255]
49: [1, 1, 'index', 0.3364]
50: [1, 4, 'index', 121.2659]
51: [2, 2, 'hybrid', 4.1813]
52: [3, 3, 'unknown', 75.2834]
53: [1, 3, 'unknown', 265.1591]
54: [1, 3, 'index', 35.5993]
55: [4, 4, 'hybrid', 27.7289]
56: [1, 3, 'unknown', 15.1445]
57: [1, 2, 'hybrid', 36.2067]
58: [4, 3, 'hybrid', 2.8591]
59: [4, 4, 'hybrid', 129.9056]
60: [3, 4, 'hybrid', 3.1685]
61: [2, 2, 'hybrid', 230.6879]
62: [1, 4, 'hybrid', 0.3376]
63: [2, 1, 'hybrid', 329.4444]
64: [2, 2, 'hybrid', 1.4228]
65: [4, 2, 'index', 50.4795]
66: [2, 3, 'hybrid', 8.9704]
67: [4, 2, 'hybrid', 351.6364]
68: [4, 2, 'hybrid', 62.5663]
69: [2, 4, 'hybrid', 20.4388]
70: [array(28.140688, dtype=float32), '36', 'index', array(28.140688, dtype=float32)]
71: [1, 2, 'hybrid', 0.0074]
72: [1, 3, 'hybrid', 52.6986]
73: [1, 3, 'hybrid', 15.0796]
74: [1, 2, 'hybrid', 16.7164]
75: [2, 2, 'index', 47.8534]
76: [3, 1, 'unknown', 0.1067]
77: [4, 4, 'hybrid', -59.0355]
78: [3, 3, 'unknown', 65.1583]
79: [1, 3, 'index', 32.8545]
80: [2, 1, 'hybrid', 0.6379]
81: [2, 1, 'hybrid', 0.6944]
83: [array(-0.22315025, dtype=float32), '80', 'hybrid', array(-0.22315025, dtype=float32)]
84: [array(-0.06501059, dtype=float32), '7/648', 'hybrid', array(-0.06501059, dtype=float32)]
85: [array(11.517268, dtype=float32), '10', 'hybrid', array(11.517268, dtype=float32)]
88: [array(0.3110646, dtype=float32), '0.1', 'hybrid', array(0.3110646, dtype=float32)]
89: [array(7.5625114, dtype=float32), '12', 'hybrid', array(7.5625114, dtype=float32)]
90: [3, 4, 'hybrid', 91377.125]
91: [2, 3, 'index', 45.7377]
92: [4, 4, 'hybrid', 372.2738]
93: [2, 1, 'index', 6.177]
94: [3, 3, 'index', 9.4773]
95: [4, 3, 'hybrid', 133.8342]
96: [2, 2, 'hybrid', 0.0908]
97: [2, 4, 'index', 65520.0]
98: [4, 4, 'hybrid', 137.1759]
99: [2, 1, 'hybrid', 0.0285]
100: [2, 2, 'hybrid', -0.1552]
101: [2, 4, 'hybrid', 36.9404]
102: [1, 3, 'hybrid', 120.1311]
103: [1, 2, 'hybrid', 12.5754]
104: [4, 3, 'index', 190.9669]
105: [1, 3, 'unknown', 266.9966]
106: [4, 3, 'index', 189.8838]
107: [4, 3, 'hybrid', 6.8178]
108: [1, 2, 'unknown', 217.0095]
109: [1, 3, 'hybrid', 3.735]
110: [1, 2, 'index', 28.9509]
111: [3, 1, 'index', 0.099]
113: [3, 2, 'hybrid', 186.7999]
114: [2, 1, 'hybrid', 0.0607]
115: [1, 2, 'index', 4.3786]
116: [4, 1, 'hybrid', 411.2827]
117: [1, 2, 'hybrid', 588.7114]
118: [3, 2, 'hybrid', 133.2913]
120: [1, 4, 'index', 11.6451]
121: [4, 3, 'hybrid', 246.3486]
122: [3, 3, 'unknown', 180.9065]
123: [3, 1, 'index', 287.8622]
124: [1, 2, 'unknown', 9.4172]
125: [3, 4, 'index', 251.5617]
126: [2, 2, 'index', 1.1433]
127: [3, 2, 'hybrid', 112.9371]
128: [1, 1, 'index', 1.2919]
129: [1, 3, 'hybrid', 99.0256]
130: [4, 1, 'hybrid', 0.0911]
131: [1, 3, 'hybrid', 0.8286]
132: [3, 2, 'index', -2.9884]
133: [1, 4, 'hybrid', 4.0595]
134: [3, 3, 'hybrid', 209.2717]
136: [1, 2, 'index', 216.3844]
137: [1, 1, 'unknown', 4.9475]
138: [4, 4, 'index', 5600.4585]
139: [1, 2, 'index', 65.4966]
140: [4, 1, 'hybrid', 183.5321]
143: [1, 3, 'hybrid', 2.8212]
144: [1, 3, 'index', 35.8796]
145: [1, 3, 'hybrid', 4.5945]
146: [1, 3, 'hybrid', -2.986]
147: [3, 4, 'index', -0.0808]
148: [4, 1, 'unknown', 28.2783]
149: [4, 2, 'unknown', 35.6747]
150: [2, 2, 'hybrid', 0.3745]
151: [3, 1, 'hybrid', 169.0592]
152: [2, 2, 'hybrid', 14906.1582]
153: [2, 1, 'index', 54.3319]
154: [1, 2, 'index', 0.3004]
155: [1, 3, 'unknown', 127.2799]
156: [4, 4, 'hybrid', 147.8487]
157: [4, 2, 'unknown', 2643851.5]
158: [array(27.462856, dtype=float32), '43', 'hybrid', array(27.462856, dtype=float32)]
160: [4, 3, 'index', 68.2869]
163: [2, 1, 'unknown', 358.8131]
164: [1, 2, 'unknown', 111.2861]
165: [3, 3, 'hybrid', 0.9603]
166: [1, 3, 'unknown', 15.2916]
167: [1, 4, 'hybrid', 65.8852]
168: [3, 3, 'index', 0.1056]
169: [1, 1, 'index', 28.8327]
170: [2, 4, 'hybrid', 18.4983]
171: [1, 4, 'hybrid', 0.245]
172: [2, 4, 'index', 11.5571]
173: [1, 3, 'index', 38.6011]
174: [1, 3, 'hybrid', 0.4531]
175: [4, 3, 'unknown', 5.0489]
176: [3, 2, 'unknown', 331.5542]
177: [2, 1, 'hybrid', 1023.428]
178: [4, 1, 'hybrid', 175.2312]
179: [2, 3, 'hybrid', 6.4102]
180: [1, 4, 'hybrid', 9.1118]
181: [3, 2, 'hybrid', 195.9412]
182: [3, 4, 'hybrid', 131.6268]
183: [4, 3, 'hybrid', 17.3186]
184: [1, 1, 'hybrid', 1.4356]
185: [4, 2, 'hybrid', 678.1712]
186: [4, 2, 'unknown', 73.7053]
187: [4, 2, 'index', 126.15]
188: [1, 3, 'unknown', 28.9028]
189: [4, 2, 'index', 738.4862]
190: [4, 1, 'hybrid', 209.7653]
192: [4, 3, 'index', 67.1372]
193: [array(0.843995, dtype=float32), '7/6', 'hybrid', array(0.843995, dtype=float32)]
194: [1, 1, 'hybrid', 4.3126]
195: [4, 4, 'unknown', 0.6821]
196: [3, 3, 'hybrid', 129.3862]
197: [1, 4, 'hybrid', 4.9449]
198: [array(102043.45, dtype=float32), '4414 B 6621 C.8828 D.4870847\nA:4870847', 'hybrid', array(102043.45, dtype=float32)]
199: [4, 3, 'hybrid', 152.522]
